time,open,high,low,close
2026-03-20T04:00:00+03:00,4648.74,4736.175,4639.42,4721.82
2026-03-20T08:00:00+03:00,4721.845,4734.96,4661.305,4693.85
2026-03-20T12:00:00+03:00,4693.855,4700.65,4637.245,4678.445
2026-03-20T16:00:00+03:00,4678.42,4679.615,4540.785,4583.105
2026-03-20T20:00:00+03:00,4583.155,4600.885,4477.54,4497.48
2026-03-23T00:00:00+03:00,4472.24,4536.415,4319.92,4354.325
2026-03-23T04:00:00+03:00,4354.13,4454.51,4330.325,4367.97
2026-03-23T08:00:00+03:00,4367.92,4380.155,4099.125,4251.44
2026-03-23T12:00:00+03:00,4251.45,4492.925,4223.685,4478.505
2026-03-23T16:00:00+03:00,4478.51,4513.165,4350.63,4375.79
2026-03-23T20:00:00+03:00,4375.745,4467.27,4370.825,4406.505
2026-03-24T00:00:00+03:00,4382.825,4448.355,4331.36,4364.59
2026-03-24T04:00:00+03:00,4364.635,4379.465,4305.88,4333.595
2026-03-24T08:00:00+03:00,4333.6,4433.31,4320.04,4412.02
2026-03-24T12:00:00+03:00,4411.975,4442.245,4362.065,4379.115
2026-03-24T16:00:00+03:00,4379.06,4434.31,4351.09,4421.485
2026-03-24T20:00:00+03:00,4421.49,4484.495,4372.655,4474.275
2026-03-25T00:00:00+03:00,4476.635,4572.18,4455.885,4563.295
2026-03-25T04:00:00+03:00,4563.265,4602.645,4552.375,4573.02
2026-03-25T08:00:00+03:00,4573.15,4573.585,4533.145,4556.32
2026-03-25T12:00:00+03:00,4556.295,4585.6,4521.88,4544.095
2026-03-25T16:00:00+03:00,4544.09,4579.44,4525.265,4555.135
2026-03-25T20:00:00+03:00,4555.155,4569.025,4486.59,4506.845
2026-03-26T00:00:00+03:00,4521.855,4539.065,4489.075,4535.78
2026-03-26T04:00:00+03:00,4535.72,4544.815,4500.055,4520.54
2026-03-26T08:00:00+03:00,4520.58,4522.55,4412.44,4428.055
2026-03-26T12:00:00+03:00,4427.995,4456.865,4414.705,4429.47
2026-03-26T16:00:00+03:00,4429.315,4479.895,4366.95,4389.375
2026-03-26T20:00:00+03:00,4389.305,4420.75,4351.355,4378.2
2026-03-27T00:00:00+03:00,4388.67,4415.4,4375.525,4378.76
2026-03-27T04:00:00+03:00,4378.745,4449.83,4377.28,4445.955
2026-03-27T08:00:00+03:00,4446.08,4475.3,4424.025,4424.51
2026-03-27T12:00:00+03:00,4424.465,4445.34,4404.58,4438.01
2026-03-27T16:00:00+03:00,4437.97,4555.63,4413.775,4507.355
2026-03-27T20:00:00+03:00,4511.27,4528.755,4486.505,4493.685
2026-03-30T00:00:00+03:00,4512.54,4513.55,4417.43,4432.295
2026-03-30T04:00:00+03:00,4431.87,4518.175,4431.825,4497.02
2026-03-30T08:00:00+03:00,4497.03,4550.855,4497.02,4538.22
2026-03-30T12:00:00+03:00,4538.23,4580.73,4523.605,4569.445
2026-03-30T16:00:00+03:00,4569.49,4578.835,4512.57,4539.985
2026-03-30T20:00:00+03:00,4539.92,4542.46,4493.1,4510.65
2026-03-31T00:00:00+03:00,4517.71,4548.31,4482.66,4547.935
2026-03-31T04:00:00+03:00,4547.94,4619.255,4532.15,4564.925
2026-03-31T08:00:00+03:00,4564.535,4581.94,4543.51,4568.755
2026-03-31T12:00:00+03:00,4568.8,4597.76,4529.545,4574.82
2026-03-31T16:00:00+03:00,4575,4651.585,4567.98,4638.23
2026-03-31T20:00:00+03:00,4638.14,4687.335,4636.5,4667.875
2026-04-01T00:00:00+03:00,4674.535,4722.6,4662.125,4710.92
2026-04-01T04:00:00+03:00,4710.93,4724.52,4667.195,4676.495
2026-04-01T08:00:00+03:00,4676.61,4747.815,4674.72,4728.7
2026-04-01T12:00:00+03:00,4728.77,4762.905,4713.195,4724.775
2026-04-01T16:00:00+03:00,4724.82,4790.84,4716.28,4787.3
2026-04-01T20:00:00+03:00,4787.305,4793.195,4742.17,4758.2
2026-04-02T00:00:00+03:00,4758.465,4800.8,4751.98,4784.42
2026-04-02T04:00:00+03:00,4784.41,4786.36,4649.465,4672.65
2026-04-02T08:00:00+03:00,4672.635,4680.915,4553.85,4621.005
2026-04-02T12:00:00+03:00,4620.995,4635.435,4592.895,4601.765
2026-04-02T16:00:00+03:00,4601.71,4699.89,4580.65,4659.215
2026-04-02T20:00:00+03:00,4659.22,4682.01,4645.78,4676.745
2026-04-06T00:00:00+03:00,4638.25,4654.59,4600.85,4622.585
2026-04-06T04:00:00+03:00,4622.63,4671.73,4620.605,4659.21
2026-04-06T08:00:00+03:00,4659.205,4698.21,4643.505,4695.86
2026-04-06T12:00:00+03:00,4696.09,4706.875,4659.655,4676.22
2026-04-06T16:00:00+03:00,4676.21,4697.78,4652.095,4660.515
2026-04-06T20:00:00+03:00,4660.55,4666.725,4645.805,4649.995
2026-04-07T00:00:00+03:00,4661.755,4667.97,4649.46,4655.23
2026-04-07T04:00:00+03:00,4655.22,4664.53,4616.53,4660.155
2026-04-07T08:00:00+03:00,4660.24,4691.225,4623.475,4683.035
2026-04-07T12:00:00+03:00,4682.905,4694.905,4629.02,4651.67
2026-04-07T16:00:00+03:00,4651.675,4668.825,4607.63,4657.29
2026-04-07T20:00:00+03:00,4657.28,4718.96,4654.115,4704.81
2026-04-08T00:00:00+03:00,4741.845,4858.215,4713.04,4817.715
2026-04-08T04:00:00+03:00,4817.73,4825.435,4788.12,4803.515
2026-04-08T08:00:00+03:00,4803.53,4843.9,4790.39,4794.2
2026-04-08T12:00:00+03:00,4794.12,4807.42,4768.4,4799.765
2026-04-08T16:00:00+03:00,4799.705,4806.92,4732.305,4760.52
2026-04-08T20:00:00+03:00,4760.605,4764.505,4699.305,4718.96
2026-04-09T00:00:00+03:00,4727.55,4729.67,4698.725,4707.185
2026-04-09T04:00:00+03:00,4707.18,4733.04,4699.905,4720.92
2026-04-09T08:00:00+03:00,4720.985,4733.19,4703.58,4726.17
2026-04-09T12:00:00+03:00,4726.145,4759.87,4723.25,4746.07
2026-04-09T16:00:00+03:00,4746.06,4801.28,4738.655,4789.09
2026-04-09T20:00:00+03:00,4789.085,4801.39,4760.835,4765.405
2026-04-10T00:00:00+03:00,4772.62,4772.62,4750.535,4763.21
2026-04-10T04:00:00+03:00,4763.22,4777.42,4738.105,4758.52
2026-04-10T08:00:00+03:00,4758.51,4769.385,4730.74,4740.975
2026-04-10T12:00:00+03:00,4741.005,4782.605,4740.695,4771.92
2026-04-10T16:00:00+03:00,4771.93,4794.98,4747.375,4763.84
2026-04-10T20:00:00+03:00,4763.865,4773.35,4741.01,4749.685
2026-04-13T00:00:00+03:00,4670.425,4698.96,4644.465,4695.635
2026-04-13T04:00:00+03:00,4695.63,4728.225,4693.79,4723.16
2026-04-13T08:00:00+03:00,4723.17,4740.03,4716.39,4723.63
2026-04-13T12:00:00+03:00,4723.635,4729.23,4703.375,4723.48
2026-04-13T16:00:00+03:00,4723.43,4746.27,4700.565,4733.215
2026-04-13T20:00:00+03:00,4733.225,4750.205,4723.54,4740.34
2026-04-14T00:00:00+03:00,4746.92,4776.075,4745.84,4769.98
2026-04-14T04:00:00+03:00,4769.94,4777.385,4761.79,4774.24
2026-04-14T08:00:00+03:00,4774.24,4796.63,4757.855,4786.97
2026-04-14T12:00:00+03:00,4787.08,4789.405,4751.22,4771.48
2026-04-14T16:00:00+03:00,4771.475,4820.34,4771.185,4810.075
2026-04-14T20:00:00+03:00,4810.12,4846.37,4809.54,4841.76
2026-04-15T00:00:00+03:00,4849.155,4850.88,4827.285,4835.56
2026-04-15T04:00:00+03:00,4835.52,4871.38,4816.915,4825.075
2026-04-15T08:00:00+03:00,4825.125,4830.53,4804.05,4818.63
2026-04-15T12:00:00+03:00,4818.56,4819.565,4786.08,4811.76
2026-04-15T16:00:00+03:00,4811.69,4830.615,4787.145,4803.985
2026-04-15T20:00:00+03:00,4803.975,4808.96,4787.895,4790.94
2026-04-16T00:00:00+03:00,4798.465,4837.81,4790.87,4833.145
2026-04-16T04:00:00+03:00,4833.205,4836.465,4811.33,4833.185
2026-04-16T08:00:00+03:00,4833.21,4838.56,4806.59,4813.85
2026-04-16T12:00:00+03:00,4813.815,4823.14,4805.165,4816.265
2026-04-16T16:00:00+03:00,4816.285,4824.04,4772.575,4792.095
2026-04-16T20:00:00+03:00,4792.105,4798.67,4781.45,4790.66
2026-04-17T00:00:00+03:00,4793.945,4801.3,4785.965,4794.845
2026-04-17T04:00:00+03:00,4794.88,4804.48,4767.845,4802.995
2026-04-17T08:00:00+03:00,4802.99,4806.2,4778.81,4796.11
2026-04-17T12:00:00+03:00,4796.115,4848.005,4782.255,4846.52
2026-04-17T16:00:00+03:00,4846.53,4891.54,4834.915,4867.18
2026-04-17T20:00:00+03:00,4867.15,4869.665,4830.79,4831.61
2026-04-20T00:00:00+03:00,4774.815,4794.97,4736.83,4772.815
2026-04-20T04:00:00+03:00,4772.8,4814.46,4771.44,4789.035
2026-04-20T08:00:00+03:00,4789.06,4805.795,4779.54,4796.395
2026-04-20T12:00:00+03:00,4796.355,4822.175,4783.72,4803.505
2026-04-20T16:00:00+03:00,4803.495,4827.695,4792.615,4805.55
2026-04-20T20:00:00+03:00,4805.645,4821.98,4803.9,4820.115
2026-04-21T00:00:00+03:00,4825.135,4833.405,4817,4823.895
2026-04-21T04:00:00+03:00,4823.9,4824.54,4788.87,4789.49
2026-04-21T08:00:00+03:00,4789.415,4797.145,4772.885,4786.09
2026-04-21T12:00:00+03:00,4786.11,4798.03,4766.545,4778.98
2026-04-21T16:00:00+03:00,4778.97,4794.52,4708.375,4711.27
2026-04-21T20:00:00+03:00,4711.29,4722.28,4668.62,4720.685
2026-04-22T00:00:00+03:00,4726.085,4747.455,4715.78,4740.02
2026-04-22T04:00:00+03:00,4739.96,4765.035,4735.875,4754.665
2026-04-22T08:00:00+03:00,4754.715,4772.385,4751.98,4757.19
2026-04-22T12:00:00+03:00,4757.085,4762.595,4742.98,4744.54
2026-04-22T16:00:00+03:00,4744.555,4760.99,4723.995,4728.62
2026-04-22T20:00:00+03:00,4728.615,4750.2,4728.56,4740.455
2026-04-23T00:00:00+03:00,4741.96,4754.2,4694.135,4747.765
2026-04-23T04:00:00+03:00,4747.755,4750.06,4698.26,4704.49
2026-04-23T08:00:00+03:00,4704.55,4725.115,4692.485,4703.45
2026-04-23T12:00:00+03:00,4703.385,4743.2,4684.265,4740.125
2026-04-23T16:00:00+03:00,4740.115,4741.23,4715.76,4733.055
2026-04-23T20:00:00+03:00,4733.095,4734.61,4664.38,4694.09
2026-04-24T00:00:00+03:00,4695.935,4708.175,4686.65,4704.69
2026-04-24T04:00:00+03:00,4704.68,4711.23,4658.03,4674.485
2026-04-24T08:00:00+03:00,4674.55,4697.55,4667.055,4690.915
2026-04-24T12:00:00+03:00,4690.925,4717.44,4674.88,4700.64
2026-04-24T16:00:00+03:00,4700.71,4740.57,4689.665,4726.98
2026-04-24T20:00:00+03:00,4726.99,4730.16,4705.465,4709.75
